"Account number","account number"
"Bank code","bank code"
"Holder","account holder"
"Amount","Amount"
"Transaction Id: %s","transaction ID: %s"
"Order No.: ","orde. "
"Payment was successful.","Order via sofortbanking successfully transmitted. Your %s ID: %s"
"Payment successfull. Invoice needs to be confirmed.", "Order with Payment by Invoice successfully submitted. The merchant is yet to acknowledge the order. Your transaction ID: %s"
"Payment was not successfull","Error while processing the order."
"Sofortueberweisung payment loaded.","sofortbanking selected. Transaction not completed yet."
"Vorkasse by sofort payment loaded.","Payment in advance as payment method chosen. Transaction not finished yet."
"sofortlastschrift payment loaded.","Payment method direct debit chosen. Transaction not finished."
"Lastschrift by sofort payment loaded.","Payment method direct debit by sofort chosen. Transaction not finished."
"Rechnung by sofort payment loaded.","Payment method Purchase on account chosen. Transaction not finished."
"Please fill out the account holder","Please fill in the account number, bank code and bank holder."
"Please fill out the account number","Please fill in the account number, bank code and bank holder."
"Please fill out the bank code","Please fill in the account number, bank code and bank holder."
"Cancelation of payment","Payment is unfortunately not possible or has been cancelled by the customer. Please select another payment method."
"Project password","project password"
"Notification password", "notification password"
"Create Invoice","create invoice after pament"
"Projekt Id","project ID"
"User Id","customer ID"
"Sofortueberweisung","sofortbanking"
"customer protection","sofortüberweisung with customer protection"
"Direct payment method of Payment Network AG.","sofortbanking is the free of charge, TÜV certified payment method by Payment Network AG."
"Rechnung by sofort","Rechnung by sofort"
"Rechnung","Kauf auf Rechnung (Purchase on account)"
"Invoice with payment guarantee.","Buy on account with consumer protection"
"sofortlastschrift","sofortlastschrift (direct debit + online banking precheck)"
"Secure direct debit system.","sofortlastschrift is an advanced payment system based on one of the most popular German payment methods, ELV."
"Vorkasse by sofort","Vorkasse by sofort"
"Vorkasse","Vorkasse (pay in advance)"
"Automated money order system.","Payment in advance with automatic reconcilement."
"Lastschrift by sofort","Lastschrift by sofort"
"Lastschrift","Lastschrift/Bankeinzug (direct debit by sofort)"
"Lastschriftverfahren","Automatic direct debit by Payment Network AG."
"sofortueberweisung and other sofort-products","sofortueberweisung and other sofort products"
"More","more information"
"Error while saving this configuration: ","Failed to save.: "
"Item was successfully saved","saved successfully."
"Your benefit:","Your benefits:"
"Certified payment method","sofortbanking is the free, ISO certified online payment system of the Payment Network AG. Your advantages: <ul><li>no additional registration</li><li>automatic debiting from your online bank account with highest safety standards</li><li>immediate shipping of stock goods.</li><li>In order to pay with sofortbanking you need your online banking login data.</li></ul>"
"Certified payment method, direct debit","<ul><li>Payment system with TÜV-certified Privacy Policy</li><li>No registration required</li><li>Goods / services can be dispatched IMMEDIATELY</li><li>Please have your online banking PIN ready</li></ul>"
"Help","Help"
"Learn More","more information"
"Sort order","sort sequence"
"New order status","Confirmed order status"
"Enabled","activate module"
"Title","Bezeichnung"
"Payment from applicable countries","Choose countries"
"Payment from Specific countries","Choose countries"
"Money received.","Received." 
"Customer returned payment","There is a chargeback linked to this transaction.  "
"Please pay to the following account","Please use the following account data."
"Reason","reason"
"Reason 2","Reason 2"
"Please confirm our privacy policy.","Please accept the privacy policy."
"The invoice has been canceled.","The invoice has been canceled. Refund created."
"Configuration key","configuration key"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","The invoice has been canceled %s"
"Successfully canceled invoice. Credit memo created: %s","The invoice has been canceled. Refund created. %s"
"Banner or text","Banner or text in the selection of payment methods"
"All products deactivated due to errors, initiation aborted.", ""
"Must not be empty.", "The data is incomplete oder incorrect. Please correct or contact the online merchant."
"Not in list of valid values.", "Not in the range of valid values."
"Must be a positive number.", "Value must be positive."
"Unsupported currency.", "Only orders in Euro are suppported at the moment. Please correct this and try again."
"Amount is out of range.", "The total amount is too large or too small, please correct this or contact the shop owner."
"Invalid characters.", "Unknown characters."
"Maximum length of 27 characters exceeded.", "Maximum number of characters exceeded (max. 27)."
"Invalid email address.", "The order cannot be completed due to an incorrect e-mail address. Please correct this and try again."
"Invalid phone number.", "The order cannot be completed due to an incorrect telephone number. Please correct this and try again."
"Invalid country code.", "The county code ist not supported, please contact your merchant."
"Unsupported country code.", "The provided BIC is invalid."
"Invalid BIC.", "The order cannot be completed due to an incorrect BIC (Bank Identifier Code). Please correct this and try again."
"Only German addresses (DE) are supported.", "The order cannot be completed due to an incorrect country code. The delivery / billing address must be in Germany. please correct this and try again."
"Product only supports German sender accounts.", "We can only support German accounts. Please correct this or try an alternative method of payment."
"Invoice amount exceeds amount limit in factoring contract.", "The total amount is too high. please correct this and try again."
"Invoice amount is lower than minimum amount defined in project settings.", "The total amount is too low. Please correct this and try again."
"Invalid tax, allowed values are: 7, 19.", "Value for VAT is incorrect. Valid values: 7,19."
"Validation of given bank account and bank code failed.", "The validation of bank account and bank routing number failed."
"Maximum length of 255 characters exceeded.", "The maximum number of 255 characters has been exceeded."
"Invalid items found.", "The query contained invalid cart positions. Please correct this or contact the shop owner."
"Payment not possible with this service.", "Please enter, at least, the account holder and try again."
"Transaction with same data already created.", "A transaction with the information you have submitted already exists."
"This service is currently only accessible by non-commercial customers.", "Purchase on account is currently only available for private customers."
"Version Number","Versionsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/en/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/en/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/en/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/en/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/en/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/en/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/en/su/banner_300x100.png"